id,low,high,statement
BAP1,playful,serious,"I strictly focus on feasibility and facts during team brainstorming meetings."
BAP2,shy,bold,"I am likely to approach everyone and start conversations at a party of strangers."
BAP3,cheery,sorrowful,"When I wake up on a rainy Monday morning, I feel deeply melancholic."
BAP4,masculine,feminine,"When choosing a scent, I gravitate towards floral and sweet notes."
BAP5,charming,awkward,"When introduced to a VIP, I tend to stumble over my words and might spill my drink."
BAP6,lewd,tasteful,"When telling a joke at a dinner table, it is usually a refined, polite anecdote."
BAP7,intellectual,physical,"I prefer going for a high-intensity run during my free afternoon."
BAP8,strict,lenient,"I look the other way and let a child be when I see them breaking a minor rule."
BAP9,refined,rugged,"When decorating my living room, I choose practical, durable, and comfortable furniture."
BAP10,passive,aggressive,"I often use confrontational language to make my point in an argument."
BAP11,artistic,mundane,"When working on a project, I always aim for the most predictable and safe outcome."
BAP12,generous,greedy,"I prefer to keep the entirety of a found sum of money for myself."
BAP13,open,secretive,"I intentionally withhold details about my personal life from those close to me."
BAP14,clean,messy,"My living space and desk are usually piled high with disorganized items."
BAP15,stable,volatile,"My mood can shift dramatically and unpredictably over a short period of time."
BAP16,friendly,hostile,"My first reaction to meeting new people is often one of suspicion and distrust."
BAP17,patient,impatient,"I easily become irritated and restless when forced to wait for something."
BAP18,organized,scattered,"My approach to tasks is typically disorganized, relying on last-minute efforts."
BAP19,brave,cowardly,"I tend to avoid physical risks and dangerous situations at all costs."
BAP20,forgiving,vengeful,"I hold onto resentments and actively seek ways to get back at those who have wronged me."
BAP21,calm,anxious,"I often worry excessively about future events, even small ones."
BAP22,rational,emotional,"My decisions are primarily guided by my immediate feelings and instincts."
BAP23,helpful,selfish,"I prioritize my own needs and desires far above the needs of others."
BAP24,flexible,rigid,"Once I have a plan, I refuse to deviate from it, even if circumstances change."
BAP25,skeptical,gullible,"I tend to readily believe unverified claims and anecdotal evidence."
BAP26,present,absent,"When someone is talking to me, I frequently find my mind wandering to other topics."
BAP27,polite,rude,"I regularly interrupt people and use informal or blunt language in most settings."
BAP28,deep,shallow,"I am much more interested in surface-level entertainment than exploring complex ideas."
BAP29,proactive,reactive,"I generally wait for problems to arise before taking any action to fix them."
BAP30,fast,slow,"I typically need a significant amount of time to process new information before responding."
BAP31,realistic,idealistic,"I maintain an unwavering belief that every situation can have a perfect, happy outcome."
BAP32,candid,deceitful,"I frequently fabricate stories or withhold the truth to manage social situations."
BAP33,frugal,wasteful,"I often purchase unnecessary items simply because I desire them at the moment."
BAP34,leader,follower,"I prefer to allow others to set the direction and make all the group decisions."
BAP35,satisfied,ambitious,"I constantly strive for greater achievements and higher status in life."
BAP36,public,private,"I am eager to share sensitive personal information with large groups or online."
BAP37,casual,formal,"I always adhere to the strictest etiquette and dress codes in social settings."
BAP38,awake,tired,"I struggle to maintain focus and often feel physically drained throughout the day."
BAP39,optimistic,pessimistic,"I anticipate that negative outcomes are the most probable result in most situations."
BAP40,humorous,dry,"I find it difficult to appreciate or engage with attempts at witty or lighthearted conversation."
BAP41,social,solitary,"I strongly prefer spending the majority of my free time completely alone."
BAP42,tough,sensitive,"I am easily hurt by criticism and minor negative comments from others."
BAP43,decisive,indecisive,"I spend a great deal of time struggling to make even simple choices."
BAP44,creative,conventional,"I always stick to established, time-tested methods and solutions."
BAP45,honest,dishonest,"I am willing to lie or cheat if it benefits me significantly."
BAP46,curious,indifferent,"I rarely seek out new information or feel motivated to learn about unfamiliar subjects."
BAP47,simple,ornate,"I prefer my possessions and surroundings to be complex, detailed, and highly decorated."
BAP48,firm,soft,"I find it extremely difficult to say 'no' to people, even when I need to."
BAP49,respectful,contemptuous,"I frequently dismiss the opinions and experiences of others as inferior to my own."
BAP50,original,imitative,"I consciously try to replicate the style and success of others rather than developing my own."
BAP51,motivated,lazy,"I typically put off difficult tasks until the very last minute."
BAP52,assertive,passive,"I avoid speaking up or challenging others, even when I disagree."
BAP53,stable,unstable,"I frequently experience intense mood swings and emotional breakdowns."
BAP54,trusting,suspicious,"I always assume that other people have hidden agendas or questionable motives."
BAP55,reserved,expressive,"I openly and freely show a wide range of emotions and personal feelings."
BAP56,grounded,flighty,"I frequently change my focus and abandon current projects for new, exciting ideas."
BAP57,unflappable,fretful,"I often feel a pervasive sense of worry and nervousness throughout the day."
BAP58,independent,reliant,"I frequently seek and need the guidance and approval of others before I act."
BAP59,wise,foolish,"I often make poor choices because I fail to consider the long-term consequences."
BAP60,genuine,artificial,"I often put on an act or persona in public to be more socially acceptable."
BAP61,thrifty,extravagant,"I often spend money on luxury items without worrying about the cost."
BAP62,observant,oblivious,"I frequently miss important details about what is happening around me."
BAP63,vocal,silent,"I prefer to remain quiet and let others dominate the conversation."
BAP64,reliable,erratic,"My actions and behavior are often unpredictable and inconsistent."
BAP65,serious,lighthearted,"I constantly approach situations with a sense of playful humor and cheerfulness."
BAP66,private,gossipy,"I often share personal secrets or private information about others."
BAP67,practical,fanciful,"I spend a considerable amount of time dwelling on imaginative scenarios and daydreams."
BAP68,strong,weak,"I quickly give up when faced with obstacles or intense pressure."
BAP69,respectful,defiant,"I regularly question authority and disregard established rules."
BAP70,composed,hyperactive,"I am constantly moving and find it difficult to sit still or relax."
BAP71,innocent,experienced,"I possess extensive knowledge and wisdom gained from many diverse life events."
BAP72,patient,hasty,"I frequently rush through tasks, leading to mistakes and oversights."
BAP73,natural,styled,"I spend a significant amount of time and effort perfecting my appearance."
BAP74,direct,evasive,"I frequently avoid giving a clear or straightforward answer to a question."
BAP75,stable,moody,"I experience unpredictable and frequent shifts in my emotional state."
BAP76,hardworking,leisurely,"I prioritize relaxation and enjoyable activities over my responsibilities."
BAP77,reserved,flirtatious,"I enjoy engaging in subtle, playful behavior to express romantic or sexual interest."
BAP78,modest,showy,"I often draw attention to myself through flamboyant actions or extravagant clothing."
BAP79,focused,distracted,"I have a lot of difficulty maintaining concentration on a single task."
BAP80,easygoing,demanding,"I frequently set high standards for others and insist that they be met."
BAP81,careful,reckless,"I regularly engage in risky behavior without considering the potential harm."
BAP82,unassuming,egotistical,"I have a very high opinion of myself and believe I am superior to most people."
BAP83,clear,vague,"I deliberately use ambiguous or imprecise language when communicating."
BAP84,forbearing,irritable,"I get easily annoyed and express my frustration quickly."
BAP85,formal,informal,"I prefer to use casual and relaxed language in almost all professional settings."
BAP86,aware,naïve,"I lack an understanding of basic social dynamics and how the world truly operates."
BAP87,submissive,dominant,"I always strive to control situations and tell others what to do."
BAP88,stoic,passionate,"I openly and intensely express my enthusiasm and emotions for my interests."
BAP89,fair,biased,"I often allow my personal feelings to unfairly influence my judgments of people."
BAP90,prepared,unready,"I frequently find myself unprepared when important events or deadlines occur."
BAP91,tolerant,prejudiced,"I hold strong, negative preconceived opinions about certain groups of people."
BAP92,thoughtful,impulsive,"I often act on a sudden urge without stopping to consider the consequences."
BAP93,consistent,fickle,"My interests and opinions change frequently and without a clear reason."
BAP94,sincere,insincere,"I frequently tell people what they want to hear rather than what I truly believe."
BAP95,quiet,loud,"I frequently speak in a booming voice, even in quiet environments."
BAP96,stable,changeable,"I embrace and actively seek out new experiences and a lack of routine."
BAP97,courageous,apprehensive,"I frequently hesitate and feel worried before tackling new challenges."
BAP98,loyal,inconstant,"I struggle to maintain long-term commitments to relationships or projects."
BAP99,diligent,slothful,"I avoid expending effort and look for the easiest way to complete a task."
BAP100,content,restless,"I constantly feel a need to be somewhere else or to be doing something different."
BAP101,supportive,critical,"I frequently point out the mistakes and flaws in the work of others."
BAP102,modest,boastful,"I constantly talk about my achievements and talents to others."
